index,MINE_ID,score
22162,4407046,1596.620658
6749,1518068,1583.622959
15849,3400282,1582.162347
6727,1518022,1582.004944
8731,1800001,1581.552372
6834,1518197,1578.975724
23409,4608636,1574.391657
6447,1516761,1574.081129
21182,4202335,1571.995092
25218,5001267,1570.281895
23065,4605086,1568.423467
7104,1518522,1567.88177
23063,4604955,1552.509612
24999,4801497,1551.11876
33,100394,1550.440492
23112,4606051,1550.308593
19329,4003333,1543.749614
21911,4406199,1541.682949
521,201049,1537.193846
23521,4608812,1536.84168
17130,3606468,1528.329647
17883,3609224,1527.849919
1239,300426,1527.428455
25563,5400001,1525.497505
23777,4609150,1524.48572
23843,4609237,1523.824508
6314,1512602,1519.883679
23825,4609215,1518.141541
3321,800046,1514.267998
23659,4608993,1513.170726
4919,1200426,1511.789163
6673,1517903,1511.360684
18120,3609549,1508.440332
2592,503695,1506.663251
20850,4200079,1502.662255
23584,4608890,1499.8085
23348,4608492,1498.709887
6670,1517898,1496.723241
23412,4608645,1496.428203
9164,2000038,1491.666262
5348,1300148,1487.995142
6246,1509740,1486.417239
7610,1519159,1484.139678
22072,4406943,1480.460509
16756,3600006,1478.436973
21888,4405559,1473.439329
12050,2500002,1471.082894
6311,1512482,1470.99546
17424,3608525,1455.340082
7139,1518569,1452.53866
21889,4405605,1449.418933
13593,3000585,1444.955473
5347,1300125,1443.336604
6121,1500081,1442.404726
24888,4800086,1439.108731
1566,400157,1439.023913
7555,1519080,1433.460526
0,100003,1432.97016
6743,1518058,1426.248512
22310,4407224,1424.45304
19210,4003177,1422.041571
3323,800051,1420.972255
18695,3900022,1414.343826
18,100040,1414.098607
11133,2301889,1407.360725
15831,3400023,1407.231637
23159,4607042,1402.661976
13673,3001185,1401.02543
24927,4800977,1399.617539
7593,1519129,1395.492415
8092,1600509,1393.208382
6597,1517691,1393.180914
7726,1519297,1392.130585
11258,2302171,1389.679425
7062,1518469,1389.459306
22306,4407220,1388.712067
23831,4609221,1388.032524
4551,1102636,1380.073199
17562,3608746,1379.430857
21397,4300042,1376.888415
12294,2600002,1370.397329
23856,4609258,1369.963873
22000,4406816,1368.451046
15717,3304526,1366.889752
6490,1517110,1365.994915
6668,1517894,1365.057107
23504,4608791,1362.917644
19035,4000840,1361.050516
23107,4605978,1357.638202
23329,4608429,1357.000824
6564,1517583,1356.931595
18985,4000087,1354.80731
6429,1516599,1353.406551
1574,400191,1348.23606
6245,1509724,1346.929182
6338,1513495,1340.730062
7391,1518884,1338.224576
4153,1001993,1335.940608
14822,3102165,1335.682555
6411,1516404,1335.406536
5779,1400073,1330.757455
23633,4608949,1329.781508
22429,4500805,1327.3648
20856,4200149,1327.020549
90,102343,1325.243685
5005,1201732,1322.746291
1732,402542,1322.655501
13154,2900159,1321.588257
6255,1510212,1317.75585
23452,4608715,1311.838078
6864,1518233,1308.001931
13157,2900175,1307.798745
23295,4608305,1307.744285
6201,1505375,1305.865992
7748,1519327,1305.524159
23122,4606263,1301.958067
7625,1519180,1298.470685
31,100329,1293.590629
7367,1518854,1290.563195
7247,1518705,1289.103587
6878,1518250,1288.825861
6257,1510271,1288.271358
7662,1519224,1286.630136
6234,1508293,1279.965447
23217,4607809,1279.253195
23779,4609152,1277.266111
23430,4608676,1270.623792
7284,1518747,1269.386919
7446,1518949,1269.196615
23743,4609108,1268.363893
6309,1512428,1267.815419
6716,1517993,1264.633545
6365,1515215,1262.297036
6183,1504331,1260.630465
23312,4608377,1257.896424
6416,1516470,1257.363832
3404,800931,1255.671135
7701,1519270,1252.166962
6269,1511012,1246.638623
23495,4608778,1239.714656
6263,1510445,1238.104094
22309,4407223,1237.739699
6428,1516583,1228.784899
7596,1519132,1227.233743
23624,4608939,1225.832111
12300,2600081,1225.178879
23149,4606870,1221.567219
23727,4609085,1219.549905
23256,4608131,1219.412221
7025,1518422,1218.980131
25238,5001544,1217.912156
15772,3304595,1217.105095
23710,4609062,1216.806503
23857,4609261,1215.464119
8739,1800019,1215.002604
22057,4406920,1214.523637
16800,3600125,1214.011294
15421,3301993,1212.805366
2481,500344,1212.429079
23151,4606880,1212.22784
7314,1518782,1200.523918
22952,4601329,1199.486385
7573,1519102,1199.329438
19419,4100060,1196.036728
15833,3400026,1195.430734
6808,1518157,1192.465388
11010,2300319,1192.17403
4645,1102997,1188.06121
15422,3301994,1187.511685
5342,1300097,1186.039798
4876,1200063,1184.950961
19425,4100072,1183.347563
23868,4609280,1182.635151
24891,4800155,1181.540728
7270,1518732,1180.911502
8087,1600354,1177.802139
23810,4609193,1176.716109
22008,4406839,1176.214942
24879,4800007,1175.431793
6676,1517917,1172.367637
6777,1518112,1166.506013
6972,1518360,1164.262722
21856,4404946,1163.631854
22163,4407047,1163.433709
22245,4407146,1162.034498
21893,4405815,1160.919351
12419,2602142,1160.519908
16819,3600165,1159.167411
6810,1518161,1155.197982
23245,4608019,1155.112656
5198,1202316,1154.262886
5570,1302217,1151.30226
7585,1519116,1144.695533
6486,1517077,1144.27406
6514,1517287,1143.840402
6300,1512047,1143.827473
23737,4609101,1143.548894
1247,300479,1143.039964
6096,1500034,1142.545133
20942,4201715,1139.480841
19083,4002213,1139.353774
12135,2500998,1131.56773
7060,1518466,1130.792372
13152,2900096,1128.413569
6392,1516054,1127.430081
8737,1800013,1126.318993
19125,4002968,1124.897844
